transactionAmount,dateTimeTransaction,merchantCategoryCode,cardBalance,encryptedHexCardNo,latitude,longitude,encryptedPan
8765.4,1.71116E+12,2371,9757814.79,0914f5c93037c7cc123ecaa79755c5e56fac6891,-26.2219963,-51.0850684,1e59cb4cd1e3b5a131ba1edb93a3be8c38716218
4314.11,1.71116E+12,1230,3557672.2,09f5accf1005d344e88d51bb060cd1727197e518,-4.2670701,-55.9931173,fb5e958f3ac28186d34d9974250e2b696f95e88e
3078.71,1.7106E+12,9803,9742436.22,a364e751296ce4fb3432ae0981bcd74ecdbbc065,49.6154055,5.9480686,1e59cb4cd1e3b5a131ba1edb93a3be8c38716218
4279.9,1.71076E+12,8314,4657729.96,1c1e0af73859bb4ede36543c054af6abb6fc1108,56.1908828,14.776605,d1e0b6f50b380e6565c5ec730e26122cdf5f840f
9561.99,1.71068E+12,8314,1646833.79,585cc8b8b08f159d4c73585f955b6a487def49b3,1.3887283,125.0167866,60294b26c658440a1fa3a52264ca47b346d8fa93
5564.63,1.71142E+12,5969,8434547.24,9cc6447afc3cefef371a336ffb1c6d59e1a79fde,44.8601051,78.7628605,60294b26c658440a1fa3a52264ca47b346d8fa93
8112.3,1.70968E+12,2371,2906545.12,8cb3dd0e33bab5c3e2aa883eeb7d3f9c44bd55b8,-7.2578991,107.8632023,0aa907bff09c237d3de74f115c065b281b8545ee
8300.04,1.71109E+12,3409,2578273.34,8019afad88a015c4509778dd96d4983e66532bb2,-7.9284108,110.3457756,d1e0b6f50b380e6565c5ec730e26122cdf5f840f
4251.1,1.71184E+12,9803,8177645.09,6adb1e0ebe3f74af1af57374b0f4bbb3b41f3934,49.9672504,5.8900588,60294b26c658440a1fa3a52264ca47b346d8fa93
9324.63,1.7096E+12,5969,7396485.81,be9ae4fb132fd0ee53b341f4389a2e91a0700319,52.3850526,22.3913492,aa919d31ba02400e8ace786bdefa8230679287e3
9395.14,1.71062E+12,2371,8789629.87,b14968be81a6ffc1dde3df630b6ccc0c9e9886ba,45.1088945,20.2323594,1e59cb4cd1e3b5a131ba1edb93a3be8c38716218
1509.53,1.70957E+12,9803,7088757.6,7a37cde25026daac7a99315e05c29d3677afdd8c,-9.9423239,124.3865392,aa919d31ba02400e8ace786bdefa8230679287e3
9815.84,1.70987E+12,3409,2154041.71,6819a0aa9dfcd6e9f4bcbf829cd752846443ee57,32.755613,22.6377432,ec27e63d232fb26c30d3ecbb36762271568960bf
3659.24,1.71098E+12,5969,4020084.27,79ac9ba109c43ca963dbe97443749ace555acaab,-22.4776906,-46.6347377,d1e0b6f50b380e6565c5ec730e26122cdf5f840f
401.68,1.71083E+12,8314,840755.24,0f975e39110139eb3dfedd42e7dea31bf6fc22a4,11.5399857,-85.6986957,1e59cb4cd1e3b5a131ba1edb93a3be8c38716218
1627.81,1.71121E+12,5969,7789894.67,1e4a94178080a13e9c5df4ed384dd59aee584b47,33.958503,112.170211,0aa907bff09c237d3de74f115c065b281b8545ee
8687.78,1.71106E+12,3409,2506605.34,8c30feffeb9c1f597095f02f58bee03c451b42a7,-8.1788865,112.5388072,1e59cb4cd1e3b5a131ba1edb93a3be8c38716218
4618.37,1.70978E+12,9803,6004975.8,91934d981a633f0935fa17fa09ff5955d900fb62,43.4590202,-3.8254599,aa919d31ba02400e8ace786bdefa8230679287e3
3277.06,1.71098E+12,3409,8017868.26,a81590b155535ebdaad72fef906de6e1a10e48b0,49.199757,17.4903796,1e59cb4cd1e3b5a131ba1edb93a3be8c38716218
7076.26,1.70986E+12,4444,3323123.64,75947374ee3f889eb4f231a5739b214d3d68c971,-20.9211015,-64.7480995,ec27e63d232fb26c30d3ecbb36762271568960bf
2675.77,1.71022E+12,8314,6835861.67,d9917d4dcfbe7a31cd06fcb3d302d2368dad8ed3,18.4329473,-77.1973997,6a31bb82232078dde0ea99c0fae41895107c21b6
9547.28,1.71148E+12,2371,6932756.38,7261e94ad38eaece995301fb137fcf828ca5e0eb,-41.3336941,173.1927874,6a31bb82232078dde0ea99c0fae41895107c21b6
8010.49,1.70993E+12,8314,819447.56,eaaacab091ae2f888ee06392d5da5ffd98ec97e3,-20.2562227,-47.4810384,930a488eaa79c5208d7cf722a22b7385297b7f1a
1082.53,1.71098E+12,5969,3777424.16,3ff644aded3c198f2dd5f8d7ada3448c20b5d0bd,46.5402775,15.3884817,aa919d31ba02400e8ace786bdefa8230679287e3
3597.96,1.71047E+12,6501,5192471.03,c88e241cdad9a8ed94f236306b5dc7f9ed72d1de,28.685085,115.899262,fb5e958f3ac28186d34d9974250e2b696f95e88e
8546.06,1.70983E+12,9803,8737389.76,588017081d1851214161e6931c0cdfd296da9470,35.90556,14.47611,dc5fdfd42d6d13b875e941169108d8efe142ba3d
9425.71,1.71014E+12,8314,7849921.82,3e3bbfcb697fa7be99711b1df0f550b12ada032c,-6.9149429,107.5890217,930a488eaa79c5208d7cf722a22b7385297b7f1a
7769.99,1.71098E+12,3409,9457947.13,50c35ae6c9aec51d705cb6721481134e1e5b130f,30.132798,120.892195,dc5fdfd42d6d13b875e941169108d8efe142ba3d
8165.79,1.70955E+12,8314,2891442.65,5d2d11d6e61e5486395ff99c83d938f75f8a2bb4,16.7733926,101.2451095,fb5e958f3ac28186d34d9974250e2b696f95e88e
4408.79,1.70964E+12,3409,3308412.2,e2a2ceee00f3e373893d3b76ae822016a93c1e15,40.8276499,140.4491245,aa919d31ba02400e8ace786bdefa8230679287e3
98.3,1.71175E+12,8314,7296636.3,7c6ea2c4deb115e46587c68df79c9db7d304573e,42.9115599,-85.6264635,930a488eaa79c5208d7cf722a22b7385297b7f1a
520.48,1.71095E+12,1230,3464484.28,9c2146e44dc49c951037481ce1b823d46bbd180a,45.3579767,17.7640023,0aa907bff09c237d3de74f115c065b281b8545ee
1344.21,1.70936E+12,3409,9665282.3,a73fc5b33551fca63e3d53ef19ec1cb9d8413b54,40.4339379,21.9055846,d1e0b6f50b380e6565c5ec730e26122cdf5f840f
6221.05,1.70958E+12,5969,9304834.76,fe3c0b191311a295bce9ac63a60b682b2342d94e,-5.881878,35.2175944,aa919d31ba02400e8ace786bdefa8230679287e3
3135.97,1.71124E+12,9803,6809594.73,7fcc79db73d9184b60d6f0ff5d957108c11b6b3f,-10.5792295,-37.745028,dc5fdfd42d6d13b875e941169108d8efe142ba3d
4472.8,1.70937E+12,1230,6937021.69,47480efe5e5ff8dbdac7cc58cd2665b273ec9a51,-10.1496705,123.6539405,60294b26c658440a1fa3a52264ca47b346d8fa93
4071.74,1.71055E+12,1230,4610158.68,99d7b488507f58ea1bf506c4c83de03bb1f03bc2,-7.3697672,112.5125893,ec27e63d232fb26c30d3ecbb36762271568960bf
8720.61,1.70951E+12,8314,1906535.06,f79ef5fd6c9327ef11e8cac4c0427a46be96b747,55.354135,40.297852,930a488eaa79c5208d7cf722a22b7385297b7f1a
6504.56,1.71149E+12,9803,8637259.57,90d11c35a7780c9a0a1f0570711753f3a1ba4fef,34.2904302,113.3823545,0aa907bff09c237d3de74f115c065b281b8545ee
